"id","url","title","areas_ids","areas_names","time","rating_count","rating_score","season_id","ep_id","media_id","type_name","tags","duration"
"1","https://www.bilibili.com/bangumi/play/ss41937?theme=movie","大世界扭蛋机","[1]","['中国大陆']","2022-06-30上映","","","41937","568179","28338128","电影","['剧情', '喜剧', '爱情', '科幻']","25分钟"
"2","https://www.bilibili.com/bangumi/play/ss12548?theme=movie","让子弹飞","[1, 6]","['中国大陆', '中国香港']","2010-12-16上映","142504.0","9.9","12548","328482","80952","电影","['剧情', '喜剧', '动作']","127分钟"
"3","https://www.bilibili.com/bangumi/play/ss39892?theme=movie","扬名立万","[1]","['中国大陆']","2021-11-11上映","43930.0","9.6","39892","469285","28235586","电影","['悬疑', '喜剧', '剧情']","123分钟"
"4","https://www.bilibili.com/bangumi/play/ss43055?theme=movie","新神榜：杨戬","[1]","['中国大陆']","2022-08-19上映","19026.0","8.4","43055","692437","28339259","电影","['动作', '动画', '奇幻', '冒险']","127分钟"
"5","https://www.bilibili.com/bangumi/play/ss41936?theme=movie","大世界扭蛋机 · 特别篇：明日之后","[1]","['中国大陆']","2022-06-23上映","","","41936","517849","28338126","电影","['科幻', '奇幻', '剧情', '短片']","30分钟"
"6","https://www.bilibili.com/bangumi/play/ss44510?theme=movie","交换人生","[1]","['中国大陆']","2023-01-22上映","3055.0","8.0","44510","736477","28480936","电影","['喜剧', '奇幻', '家庭']","110分钟"
"7","https://www.bilibili.com/bangumi/play/ss37947?theme=movie","温暖的抱抱","[1]","['中国大陆']","2020-12-31上映","11511.0","8.0","37947","384789","28233626","电影","['喜剧']","112分钟"
"8","https://www.bilibili.com/bangumi/play/ss48416?theme=movie","哪吒之魔童闹海","[1]","['中国大陆']","敬请期待","4670.0","9.8","48416","0","22638046","电影","['剧情', '动画', '奇幻', '喜剧']","144分钟"
"9","https://www.bilibili.com/bangumi/play/ss47065?theme=movie","坚如磐石","[1]","['中国大陆']","2023-09-28上映","1633.0","7.4","47065","796061","20326549","电影","['剧情', '动作', '犯罪']","127分钟"
"10","https://www.bilibili.com/bangumi/play/ss44847?theme=movie","流浪地球2","[1]","['中国大陆']","2023-01-22上映","42135.0","9.8","44847","744327","28480858","电影","['科幻', '冒险', '灾难']","173分钟"
"11","https://www.bilibili.com/bangumi/play/ss32523?theme=movie","功夫","[1, 6]","['中国大陆', '中国香港']","2004-12-23上映","67741.0","9.9","32523","313573","28227820","电影","['喜剧', '动作', '犯罪', '奇幻']","95分钟"
"12","https://www.bilibili.com/bangumi/play/ss28198?theme=movie","罗小黑战记","[1]","['中国大陆']","2019-09-07上映","86340.0","9.6","28198","287966","28221675","电影","['动作', '奇幻', '动画']","101分钟"
"13","https://www.bilibili.com/bangumi/play/ss41540?theme=movie","四海","[1]","['中国大陆']","2022-02-01上映","","","41540","493071","28237249","电影","['爱情', '动作', '喜剧']","128分钟"
"14","https://www.bilibili.com/bangumi/play/ss34353?theme=movie","夺冠","[1, 6]","['中国大陆', '中国香港']","2020-09-25上映","16224.0","9.1","34353","366580","28229812","电影","['剧情']","135分钟"
"15","https://www.bilibili.com/bangumi/play/ss37663?theme=movie","新神榜：哪吒重生","[1]","['中国大陆']","2021-02-12上映","28744.0","8.9","37663","398777","28233342","电影","['动作', '奇幻', '动画']","117分钟"
"16","https://www.bilibili.com/bangumi/play/ss45438?theme=movie","明日生存指南","[1]","['中国大陆']","2023-09-29上映","352.0","8.9","45438","777907","20282079","电影","['剧情', '科幻']","30分钟"
"17","https://www.bilibili.com/bangumi/play/ss41437?theme=movie","喜羊羊与灰太狼之筐出未来","[1]","['中国大陆']","2022-02-01上映","42741.0","9.8","41437","508987","28237146","电影","['喜剧', '动画']","94分钟"
"18","https://www.bilibili.com/bangumi/play/ss39192?theme=movie","疯狂的赛车","[1]","['中国大陆']","2009-01-20上映","10298.0","9.9","39192","414641","28234884","电影","['喜剧', '动作', '冒险']","104分钟"
"19","https://www.bilibili.com/bangumi/play/ss39104?theme=movie","白蛇2：青蛇劫起","[1]","['中国大陆']","2021-07-23上映","42089.0","8.5","39104","419527","28234796","电影","['奇幻', '动画', '冒险']","132分钟"
"20","https://www.bilibili.com/bangumi/play/ss10006?theme=movie","万万没想到","[1]","['中国大陆']","2015-12-18上映","4756.0","8.2","10006","116211","10006","电影","['喜剧', '奇幻', '冒险']","95分钟"
"21","https://www.bilibili.com/bangumi/play/ss33435?theme=movie","飞驰人生","[1]","['中国大陆']","2019-02-05上映","13064.0","9.4","33435","328165","28228836","电影","['喜剧']","98分钟"
"22","https://www.bilibili.com/bangumi/play/ss27821?theme=movie","全职高手之巅峰荣耀","[1]","['中国大陆']","2019-08-16上映","16484.0","6.5","27821","287967","28221062","电影","['剧情', '动画', '动作']","98分钟"
"23","https://www.bilibili.com/bangumi/play/ss12445?theme=movie","武林外传","[1]","['中国大陆']","2011-01-26上映","7761.0","9.5","12445","191020","58172","电影","['喜剧', '动作']","92分钟"
"24","https://www.bilibili.com/bangumi/play/ss44496?theme=movie","深海","[1]","['中国大陆']","3月24日16:00","29177.0","9.2","44496","741421","28480923","电影","['动画', '奇幻']","112分钟"
"25","https://www.bilibili.com/bangumi/play/ss41414?theme=movie","狙击手","[1]","['中国大陆']","2022-02-01上映","9479.0","7.8","41414","476283","28237123","电影","['剧情', '战争', '历史']","96分钟"
"26","https://www.bilibili.com/bangumi/play/ss44499?theme=movie","中国乒乓之绝地反击","[1]","['中国大陆']","2023-02-17上映","2820.0","9.0","44499","740343","28480925","电影","['剧情']","137分钟"
