mv_id,polarity_mean,polarity_std,comment_count,count_positive,count_negative,positive_ratio,negative_ratio
22,-0.07536480091521443,0.6971425856282908,2016,856,1160,0.4246031746031746,0.5753968253968254
23,0.2642463381612313,0.5767086295640655,1999,1321,678,0.6608304152076038,0.3391695847923962
24,0.19340407294860457,0.6346518119879949,1996,1197,799,0.5996993987975952,0.4003006012024048
25,0.06332424537999691,0.6827205084041107,2019,1058,961,0.5240217929668153,0.4759782070331847
26,0.2526298809342336,0.6183991594768338,1997,1267,730,0.6344516775162744,0.3655483224837256
27,-0.03903137073119444,0.712378637222556,2016,935,1081,0.46378968253968256,0.5362103174603174
28,0.02397779015001386,0.653292691084176,1399,667,732,0.4767691208005718,0.5232308791994281
29,0.18967792685731558,0.5994393583787853,1996,1190,806,0.5961923847695391,0.40380761523046094
30,0.05983950779679976,0.628759572156649,1996,975,1021,0.48847695390781565,0.5115230460921844
31,0.07416561507852748,0.5951453647361052,2000,1035,965,0.5175,0.4825
32,0.18921413587173447,0.5571292921877319,2000,1180,820,0.59,0.41
33,0.17645191536387364,0.57863223271888,1319,778,541,0.5898407884761183,0.41015921152388174
34,0.29917306439436026,0.5658616029857398,1924,1286,638,0.6683991683991684,0.3316008316008316
35,0.12087936130952856,0.5451752426702526,1999,1103,896,0.551775887943972,0.448224112056028
36,0.039267039671540264,0.6401833467167213,290,145,145,0.5,0.5
37,0.1942653882696017,0.5808419500171262,1999,1205,794,0.6028014007003502,0.39719859929964985
38,0.26817349317935985,0.5245885103516008,1999,1334,665,0.6673336668334167,0.3326663331665833
39,0.21570863749622882,0.6213121035562686,1996,1255,741,0.6287575150300602,0.3712424849699399
40,0.22485242279020845,0.5583592468662794,1998,1209,789,0.6051051051051051,0.3948948948948949
41,0.017468756683167063,0.597668106140843,1997,930,1067,0.4656985478217326,0.5343014521782674
42,-0.0006402189491140568,0.7083655973958632,1999,975,1024,0.48774387193596797,0.512256128064032
43,0.3408844319984138,0.5720476797954205,1997,1418,579,0.7100650976464697,0.2899349023535303
44,-0.10607680515571502,0.6298291294550341,2010,758,1252,0.37711442786069654,0.6228855721393035
45,0.3111873679785519,0.6274010071873577,1999,1373,626,0.6868434217108554,0.31315657828914456
46,0.20707707693290792,0.551085475727204,1645,995,650,0.6048632218844985,0.3951367781155015
47,0.09741928145075934,0.5769785460203666,1998,1095,903,0.5480480480480481,0.4519519519519519
48,0.2627804174297233,0.6200483953404625,1998,1277,721,0.6391391391391391,0.3608608608608609
49,0.21536874045810486,0.5774113235389027,1997,1198,799,0.599899849774662,0.400100150225338
50,0.18504573992966192,0.629612809780109,1664,994,670,0.5973557692307693,0.4026442307692308
51,0.16545492574319162,0.6580627169832176,1992,1157,835,0.5808232931726908,0.41917670682730923
52,0.007654863653682917,0.6197663419547705,1983,940,1043,0.47402924861321233,0.5259707513867877
54,-0.18708368300002964,0.6452468106049659,558,196,362,0.35125448028673834,0.6487455197132617
55,0.12968682416639643,0.6319156069148675,1997,1144,853,0.5728592889334001,0.4271407110665999
56,0.06654624982449871,0.6802993182077094,1998,1068,930,0.5345345345345346,0.46546546546546547
57,0.10151975239362637,0.6422683343316135,1997,1066,931,0.5338007010515774,0.46619929894842266
58,0.017840618975122634,0.6775892217512036,441,211,230,0.47845804988662133,0.5215419501133787
59,0.11458457148632104,0.677038759658945,519,285,234,0.5491329479768786,0.4508670520231214
60,0.15185561345180762,0.6364298522923166,1003,583,420,0.5812562313060817,0.4187437686939183
61,-0.036415379913460784,0.6210359697317489,1478,671,807,0.4539918809201624,0.5460081190798376
62,0.14772031827130472,0.6530464313086951,1999,1179,820,0.5897948974487244,0.4102051025512756
63,0.23512247700863825,0.5784469460282854,1996,1260,736,0.6312625250501002,0.3687374749498998
64,0.14183037855729136,0.5900447950591404,1284,711,573,0.5537383177570093,0.4462616822429907
65,0.09660222257138172,0.635339443725555,1997,1040,957,0.5207811717576365,0.47921882824236356
66,0.2539638038052765,0.6143549119430044,1996,1267,729,0.6347695390781564,0.3652304609218437
67,0.21969789147451707,0.6511420942941267,1995,1219,776,0.6110275689223058,0.38897243107769425
68,0.25190581015879615,0.6054597069019869,1314,833,481,0.6339421613394216,0.3660578386605784
69,0.05883020065901331,0.6507898176223762,971,498,473,0.5128733264675592,0.48712667353244077
70,-0.3198018747860113,0.6049869046620318,111,31,80,0.27927927927927926,0.7207207207207207
71,0.3533383973220592,0.5552870566343459,1995,1428,567,0.7157894736842105,0.28421052631578947
72,0.22984746319567784,0.5937988678898244,2000,1246,754,0.623,0.377
74,0.020945378133378233,0.6602449920878206,1596,788,808,0.49373433583959897,0.506265664160401
75,-0.09233689288293093,0.6674203294496632,239,101,138,0.4225941422594142,0.5774058577405857
76,-0.30216169449994823,0.5738009922487115,426,117,309,0.2746478873239437,0.7253521126760564
77,-0.08785186748195202,0.6298447979947799,1534,646,888,0.4211212516297262,0.5788787483702738
78,0.1957167918790318,0.6049035297201921,1842,1106,736,0.6004343105320304,0.3995656894679696
79,0.16677557718515734,0.650602629396673,834,503,331,0.6031175059952039,0.39688249400479614
80,-0.09445755306799758,0.6681870199369649,752,320,432,0.425531914893617,0.574468085106383
81,0.40540023694876687,0.5626227921475223,521,393,128,0.7543186180422264,0.2456813819577735
82,0.06474673583764921,0.6495487727012283,165,86,79,0.5212121212121212,0.47878787878787876
83,0.04858533819711833,0.666126074975004,1068,533,535,0.499063670411985,0.5009363295880149
84,0.027883408969501044,0.6762029516357705,32,14,18,0.4375,0.5625
85,0.06274241774898259,0.6547391365706742,961,488,473,0.5078043704474505,0.4921956295525494
86,0.01690474429222592,0.6351874128971389,34,17,17,0.5,0.5
87,-0.18971046032073596,0.6557794025565428,600,196,404,0.32666666666666666,0.6733333333333333
88,-0.15669780880215228,0.5966333595130682,1524,566,958,0.37139107611548555,0.6286089238845144
90,-0.34255752680146656,0.6020562698303318,1316,332,984,0.25227963525835867,0.7477203647416414
91,0.10410995293244883,0.6665072301867293,273,148,125,0.5421245421245421,0.45787545787545786
92,-0.01043549046984741,0.6377559775797327,266,114,152,0.42857142857142855,0.5714285714285714
93,0.014390211782673867,0.5489840669166506,2018,948,1070,0.4697720515361744,0.5302279484638256
94,0.2786408779503824,0.5543972692788223,1210,823,387,0.6801652892561983,0.31983471074380165
95,-0.34726226043167424,0.5517170360881257,238,59,179,0.24789915966386555,0.7521008403361344
96,0.2640558662716908,0.6124954323233813,1994,1249,745,0.6263791374122367,0.3736208625877633
97,-0.3961196052841842,0.6313929749913607,18,5,13,0.2777777777777778,0.7222222222222222
98,0.10668512831845905,0.6369502756415796,339,186,153,0.5486725663716814,0.45132743362831856
99,0.288572520492002,0.5585524019842119,1015,675,340,0.6650246305418719,0.33497536945812806
100,0.13183419540897012,0.5911488726778319,2000,1119,881,0.5595,0.4405
101,0.17610518993917845,0.6209084288600134,569,350,219,0.6151142355008787,0.38488576449912126
102,-0.0003763788910669759,0.6600982175925204,535,240,295,0.4485981308411215,0.5514018691588785
103,0.0945131369933333,0.6348013677032841,877,476,401,0.5427594070695553,0.4572405929304447
104,0.023571329841293506,0.6142607867332621,1521,717,804,0.4714003944773176,0.5285996055226825
105,0.0835061974371298,0.6607169988383319,1036,552,484,0.5328185328185329,0.4671814671814672
106,-0.25260772505727663,0.6148184558819025,1728,526,1202,0.30439814814814814,0.6956018518518519
107,0.08550554695454511,0.6535788704671137,1925,1001,924,0.52,0.48
