Title,Box Office,Average Price,Average Attendance,year
功夫熊猫4,37372,40.588097,6.0,2024
功夫王之萌虎上山,522,37.325474,4.0,2023
功夫瑜伽,174867,38.173965,33.0,2017
功夫联盟,1798,32.623352,3.0,2018
加勒比海盗4：惊涛怪浪,46425,38.33827,45.0,2011
加勒比海盗5：死无对证,118007,35.81335,22.0,2017
加拉帕戈斯：自然的仙境,17,42.39109,144.0,2025
加班惊魂,455,32.91136,3.0,2024
加菲猫家族,18475,37.152363,5.0,2024
动听的生命,100,38.61716,44.0,2023
动物世界,50967,36.847507,13.0,2018
动物也疯狂,966,31.991571,10.0,2014
动物出击,519,40.18255551252408,16.023121387283236,2019
动物园里有什么？,10870,37.453922,3.0,2024
动物总动员,6341,35.78639,22.0,2011
动物特工局,4415,31.417645999999998,4.0,2020
劫案迷云,4422,30.921793,13.0,2013
劳拉的星星在中国,289,27.279942,15.0,2011
勃沙特的长征,179,31.683857,46.0,2022
勇士,3243,27.433575,10.0,2016
勇士之门,2282,30.574876999999997,4.0,2016
勇往直前,903,30.580715,5.0,2017
勇敢传说,2826,39.084225,13.0,2012
勇敢者游戏2：再战巅峰,28926,34.86305265142087,8.992843808338518,2019
勇敢者游戏：决战丛林,49194,34.19796,18.0,2018
匆匆那些年,118,32.544525,18.0,2014
匆匆那年,58860,34.74601575671084,23.884471627590894,2014
化妆师,664,28.379822,6.0,2014
北京2022,3057,30.632593,23.0,2023
北京爱情故事,40645,33.67246426780662,25.94907122647312,2014
北京纽约,1902,31.823132,7.0,2015
北京遇上西雅图,51971,31.588986999999996,31.0,2013
北京遇上西雅图之不二情书,78532,33.514683,24.0,2016
北回归线,234,30.483335000000004,3.0,2014
北川重生,18,18.4468,110.0,2011
北平会馆,840,27.06724,6.0,2020
北极荒原,205,42.80623191707317,139.60487804878048,2024
北漂鱼,328,35.84594,5.0,2013
北角,3,26.16279,3.0,2011
匹夫,2624,32.27617937652439,24.796493902439025,2012
匹诺曹,1678,31.900307,5.0,2021
医生的假日,8,66.61116,10.0,2011
十七岁,393,28.084448,4.0,2015
十万个冷笑话,11956,32.161493243894284,18.790899966543996,2014
十万个冷笑话2,13396,31.488108,14.0,2017
十三猎杀,797,60.470264,13.0,2020
十二公民,1400,32.90995922142857,7.982142857142857,2015
十二星座离奇事件,1998,29.813948,14.0,2012
十二生肖,88172,40.28531106709614,40.94569704668149,2012
十二生肖之福星高照朱小八,556,29.884082999999997,5.0,2019
十二生肖城市英雄,53,27.455265000000004,5.0,2014
十五岁的笑脸,203,25.38554,98.0,2012
十全九美,315,24.330987866666668,146.98730158730157,2012
十八洞村,10739,37.804222,13.0,2017
十年一品温如言,16724,41.244225,14.0,2022
十月初五的月光,4256,31.804586,18.0,2015
千与千寻,48821,31.225344,12.0,2019
千顷澄碧的时代,1407,33.351406,3.0,2021
午夜43路,839,29.5541,9.0,2015
午夜6号房,494,32.649452,2.0,2024
午夜凶梦,890,29.92633802696629,23.2,2011
午夜十二点,236,27.566189,4.0,2018
午夜幽灵,337,27.869564000000004,3.0,2018
午夜微博,530,30.61872,6.0,2013
午夜心跳,221,0.0,0.0,2011
午夜怪谈,322,35.552025,2.0,2024
午夜惊魂路,234,24.69065,4.0,2017
午夜整容室,293,26.995213,5.0,2018
午夜火车,676,30.672619,7.0,2013
午夜迷途,289,29.675909,2.0,2023
午时三刻,11,32.09199,0.0,2025
半个喜剧,18837,35.32890701247545,9.030206508467378,2019
半夜不要照镜子,1140,29.993789999999997,11.0,2012
半夜叫你别回头,852,27.430147000000005,7.0,2015
半条棉被,1383,29.740716532176428,13.229211858279104,2020
半条被子,74,27.833448000000004,12.0,2020
半熟少女,233,27.563389,2.0,2016
华丽上班族,4742,34.360767,8.0,2015
华丽之后,149,32.545868,5.0,2012
华侨女英雄李林,5,25.394005,4.0,2025
单声,163,30.408608760736197,33.644171779141104,2023
单身日记：好孕来袭,548,34.984035,6.0,2017
单身男女,9517,33.152832,23.0,2011
单身男女2,19845,33.368263,17.0,2014
南太平洋之旅,42,33.01017,65.0,2022
南平红荔,31,20.507246,75.0,2012
南方车站的聚会,20293,35.28247213245947,7.9917212832011035,2019
南极之恋,23449,32.431244,11.0,2018
博物馆奇妙夜3,32248,34.37748,18.0,2015
卧底巨星,3928,30.576721,7.0,2018
卧虎藏龙：青冥宝剑,16200,35.604668,16.0,2016
卧鼠藏虫,532,35.10421,1.0,2022
印度合伙人,6698,30.71346,8.0,2018
印度女孩,347,32.533928,2.0,2022
印度暴徒,6194,30.73912598191798,10.936712948014208,2018
印式英语,117,33.920433,1.0,2023
危城,16712,33.927208,17.0,2016
危情三日,2329,31.579446999999995,20.0,2011
危情营救,97,28.861776,3.0,2013
危机航线,30041,42.41247,6.0,2024
危险关系,6251,33.948074,15.0,2012
危险记忆,128,29.025587,2.0,2021
厉害了，我的国,48059,31.555008,26.0,2018
厕所英雄,9461,30.691261,7.0,2018
原来如此,526,37.7043,9.0,2019
原谅他77次,7545,31.106255,15.0,2017
厨子戏子痞子,27274,31.525906,26.0,2013
厨房,68,43.492256,3.0,2025
去唱卡拉OK吧！,445,39.73826,2.0,2025
县委书记焦裕禄（豫剧）,57,20.967592,50.0,2014
又是一年三月三,806,43.35032,40.0,2018
又见奈良,500,34.979694,2.0,2021
友情以上,5220,30.623358000000003,6.0,2019
双人床条约,164,28.680737621951216,5.378048780487805,2011
双城计中计,2301,30.6643,12.0,2012
双子杀手,23578,37.995407,10.0,2019
双截棍,34,27.435064,3.0,2012
双生,1766,32.260105,2.0,2019
双生灵,310,28.387575000000002,7.0,2015
双重身份,766,31.114017,9.0,2011
双雄,560,30.089104,3.0,2013
双面劫匪,325,29.070349,4.0,2017
反击者,445,36.27825762921348,19.730337078651687,2021
反恐特战队：清盘行动,37,31.473536,10.0,2022
反贪风暴,9513,31.247965,14.0,2014
反贪风暴2,20886,28.991478,13.0,2016
反贪风暴3,44300,35.903515,10.0,2018
反贪风暴4,79905,35.002092011288404,11.029409924285089,2019
反贪风暴5：最终章,62894,40.75168489867078,12.39655611028079,2021
反转人生,6954,28.720474,11.0,2017
反黑行动组,260,28.860748,3.0,2016
发小儿万岁,150,36.98289,1.0,2024
发条城市,1101,28.902044,7.0,2016
受益人,21906,35.37613,8.0,2019
变化中的中国·生活因你而火热,943,81.08922265111347,8.509013785790032,2019
变形金刚3,107094,41.80170400000001,54.0,2011
变形金刚4：绝迹重生,197651,41.633846,50.0,2014
变形金刚5：最后的骑士,155126,36.93787,23.0,2017
变形金刚：起源,15230,42.710728,5.0,2024
变形金刚：超能勇士崛起,65570,37.40332,9.0,2023
变节：潜罪犯,1259,31.497400000000003,12.0,2012
变身特工,10340,34.96346,6.0,2020
变身男女,826,29.409586,11.0,2012
变身超人,235,30.168156,4.0,2013
叛谍追击,1306,30.128914,7.0,2012
古井凶灵,536,27.743542,5.0,2019
古剑奇谭之流月昭明,1412,34.84225,6.0,2018
古堡之吻,83,28.496479,2.0,2014
古墓丽影：源起之战,49748,35.066303,14.0,2018
古宝奇缘,37,26.658072,8.0,2011
古庙迷杀,146,29.623805999999995,1.0,2023
古曼,363,22.013538,7.0,2016
古田军号,5812,40.57062119408121,6.147281486579491,2019
古窑迷踪,43,27.101460999999997,2.0,2020
古董局中局,42996,38.09167196588055,5.9943483114708345,2021
古镇凶灵之巫咒缠身,1052,29.160822,8.0,2013
古镇画情,2193,31.493155146830826,31.711810305517556,2018
只属于我们的一天,272,35.26346,1.0,2022
只是一次偶然的旅行,118,38.919804,1.0,2021
只有芸知道,15970,35.26510706750156,8.73888541014402,2019
只此青绿,5200,43.033955934615385,3.998076923076923,2024
只要你过得比我好,588,33.139524248299324,1.0,2021
叫我郑先生,118,37.16485,0.0,2022
可不可以不要离开我,2026,38.874866,4.0,2023
可不可以你也刚好喜欢我,1605,30.880743,2.0,2022
可爱的你,2218,32.209576,7.0,2015
台北飘雪,185,30.747633,4.0,2012
叱咤风云,503,31.167454,2.0,2021
史前怪兽,3464,35.767846746535795,15.166281755196305,2013
史努比：花生大电影,3661,32.147564,10.0,2015
叶问2：宗师传奇,68,29.936756,110.0,2014
叶问3,76945,38.842876,23.0,2016
叶问4：完结篇,118170,35.417689730896164,12.815079969535415,2019
叶问外传：张天志,13179,34.389041095227256,9.511647317702405,2018
叶问：终极一战,1112,30.696672000000003,6.0,2013
吃货宇宙,486,30.40868,3.0,2018
合法伴侣,1068,36.797287,2.0,2021
合约情人,20,0.0,0.0,2012
合约男女,5938,33.675037,11.0,2017
吉庆街火,2,42.67925,3.0,2025
吉星高照2015,1528,30.589035,11.0,2015
吉祥如意,1356,37.637604,2.0,2021
同学们好,11,35.753033,21.0,2025
同桌的你,45555,32.746296,23.0,2014
名侦探柯南：万圣节的新娘,20188,33.2717347244898,3.13265306122449,2022
名侦探柯南：业火的向日葵,8144,29.059973,14.0,2015
名侦探柯南：沉默的15分钟,2684,29.500711000000003,20.0,2011
名侦探柯南：漆黑的追踪者,6,17.798061,159.0,2011
名侦探柯南：百万美元的五棱星,28651,37.862362,6.0,2024
名侦探柯南：纯黑的恶梦,3103,27.480768000000005,10.0,2016
名侦探柯南：绀青之拳,23198,31.180493999999996,9.0,2019
名侦探柯南：绯色的子弹,21609,33.693844,5.0,2021
名侦探柯南：贝克街的亡灵,5656,34.47994,4.0,2023
名侦探柯南：迷宫的十字路口,14804,38.08115917393948,5.937584436638747,2024
名侦探柯南：零的执行人,12737,30.52836,9.0,2018
名侦探柯南：黑铁的鱼影,16288,33.93576881581532,5.811456286836935,2023
后会无期,62875,31.95702,34.0,2014
后来的我们,136154,33.90258,21.0,2018
向着明亮那方,170,36.19214,2.0,2022
向阳·花,23044,39.56057,3.0,2025
向阳花开,19,31.162767000000002,35.0,2025
吕建江,128,32.369225,33.0,2020
听见下雨的声音,167,28.962809,2.0,2013
听风者,23207,35.65655,26.0,2012
吴仁宝,1034,36.245968858800765,58.89555125725339,2012
吴大观,4,30.083334,200.0,2011
吹哨人,5014,36.260143,6.0,2019
吾爱敦煌,1002,49.42517119161677,6.25748502994012,2023
呆呆计划,448,36.114872,4.0,2016
周军的行走,128,870.038,7.0,2020
周处除三害,66583,39.485966,7.0,2024
周恩来回延安,2830,30.209542999999996,11.0,2019
周恩来的四个昼夜,5855,31.63971466951324,77.84884713919726,2013
周末狂飙,34,38.682076,0.0,2025
周永开,488,35.30878,25.0,2023
周立波回清溪,1059,37.585587,71.0,2024
呼吸,275,33.4734,1.0,2020
命中注定,6778,32.072433,17.0,2015
命中罪爱,128,35.442467,1.0,2025
命运之夜——天之杯II ：迷失之蝶,2970,32.119705,7.0,2019
命运之夜——天之杯：恶兆之花,3168,32.11534,5.0,2019
命运派对,73,32.19779,6.0,2014
咆哮无声,37,28.116732,3.0,2012
和田玉传奇,554,23.248695,13.0,2017
咒·丝,732,29.92286,8.0,2013
咕噜咕噜美人鱼,1293,26.449445998453207,8.569218870843,2015
咕噜咕噜美人鱼2,1073,26.165417986020504,10.315936626281454,2017
咱们是亲人,139,47.04074,136.0,2012
咱们结婚吧,28406,33.39325,22.0,2015
哆啦A梦：伴我同行,52915,34.667274,22.0,2015
哆啦A梦：伴我同行2,27757,33.568768,7.0,2021
哆啦A梦：大雄与天空的理想乡,10176,31.287969999999998,5.0,2023
哆啦A梦：大雄的南极冰冰凉大冒险,14893,29.0476,13.0,2017
哆啦A梦：大雄的地球交响乐,13101,37.170513,5.0,2024
哆啦A梦：大雄的宇宙小战争 2021,9920,30.01855,3.0,2022
哆啦A梦：大雄的新恐龙,6475,30.33518965065637,5.9596911196911195,2020
哆啦A梦：大雄的月球探险记,13141,30.198393,10.0,2019
哆啦A梦：大雄的绘画奇遇记,7068,37.048634,5.0,2025
哆啦A梦：大雄的金银岛,20925,29.765457000000005,10.0,2018
哆啦A梦：新·大雄的日本诞生,10338,27.022034,13.0,2016
哈利·波特与凤凰社,2914,41.74304199210707,5.9948524365133835,2024
哈利·波特与密室,4512,41.62652805673759,6.99822695035461,2024
哈利·波特与死亡圣器（上),2324,42.67305272461274,5.382960413080895,2011
哈利·波特与死亡圣器（下）,42919,39.191530227871105,37.794916004566744,2011
哈利·波特与混血王子,2714,41.95543194178335,5.994473102431835,2024
哈利·波特与火焰杯,3534,41.24628421901528,6.99490662139219,2024
哈利·波特与阿兹卡班的囚徒,4331,40.55284015008081,7.994458554606326,2024
哈利·波特与魔法石,26840,37.28061022160954,8.714977645305515,2020
哈尔的移动城堡,16780,39.31220535327771,6.999940405244338,2024
哥斯拉,48125,38.12168,26.0,2014
哥斯拉2：怪兽之王,93722,36.069923,14.0,2019
哥斯拉大战金刚,123262,37.443863,9.0,2021
哥斯拉大战金刚2：帝国崛起,95695,42.80185,7.0,2024
哥的传说,2,32.21344,12.0,2011
哥，你好,54799,41.639587,4.0,2022
哦！文姬,291,33.872402,2.0,2021
哪一天我们会飞,502,29.517689,6.0,2016
哪吒之魔童闹海,1543143,47.646744,24.0,2025
哪吒之魔童降世,503570,35.70753504946482,22.917209126834404,2019
哭笑不得,83,29.706812,5.0,2012
唐人街探案,82246,31.756124053279187,35.10514797072198,2015
唐人街探案2,339777,38.75716,38.0,2018
唐人街探案3,452355,47.766599059809224,30.94311989477291,2020
唐山大地震,12,20.550106,54.0,2011
唐探1900,361247,48.67374,19.0,2025
唐顿庄园,2260,35.89635917433628,7.045575221238938,2019
唐顿庄园2,1297,34.78492,2.0,2022
唤醒者,530,34.92914637735849,10.19811320754717,2024
唬胆特工,320,33.927341715625005,2.0,2022
啊朋友还钱,247,36.87773,3.0,2013
喋血孤城,6,37.866665,65.0,2011
喋血战士,4555,28.896427000000003,6.0,2020
喜剧王,55,26.095238,3.0,2013
喜宝,11338,37.321568,6.0,2020
喜欢·你,21078,35.004387,16.0,2017
喜羊羊与灰太狼之兔年顶呱呱,13894,30.820755,31.0,2011
喜羊羊与灰太狼之喜气羊羊过蛇年,12485,29.940407,20.0,2013
喜羊羊与灰太狼之守护,9123,35.50895,5.0,2024
喜羊羊与灰太狼之开心闯龙年,16702,30.209742,27.0,2012
喜羊羊与灰太狼之筐出未来,16051,42.906994,10.0,2022
喜羊羊与灰太狼之羊年喜羊羊,6752,35.230732,14.0,2015
喜羊羊与灰太狼之飞马奇遇记,8618,30.355803,16.0,2014
喜酒,308,23.787886,22.0,2012
喜马拉雅天梯,1151,36.33386,27.0,2015
喵星人,4478,30.381279,9.0,2017
喵星少年漂流记,163,26.611876,15.0,2014
嗝嗝老师,14940,30.396479,8.0,2018
嗨！神兽,127,30.851496,1.0,2023
嘉年华,2221,32.62267,7.0,2017
嘻哈英熊,381,27.729992000000003,7.0,2018
嘿店,326,29.068731000000003,8.0,2011
四个春天,1055,36.923725,6.0,2019
四大名捕,19915,32.29362124067286,26.808586492593523,2012
四大名捕2,17396,36.84258,17.0,2013
四大名捕大结局,19202,36.61039,18.0,2014
四戒,157,27.379854000000005,5.0,2012
四月女友,295,40.066334,1.0,2024
四海,54279,53.10474,17.0,2022
回农村干大事,9,40.533512,12.0,2025
回到火星,963,27.834634999999995,4.0,2017
回到爱开始的地方,1102,29.992052,10.0,2013
回到过去拥抱你,1973,34.955692,4.0,2019
回头是远方,499,35.0,146.0,2015
回家的你,1,23.927685,3.0,2025
回廊亭,20542,41.599575,4.0,2023
回忆之前，忘记之后,15,28.836773,16.0,2011
回西藏,288,47.74367,3.0,2024
回马亭,391,37.639168,123.0,2017
回马枪,903,28.163656,13.0,2011
因果报应,7835,38.16895558008934,3.0,2024
因爱而伟大,317,42.03437059936908,8.990536277602523,2022
团圆饭之小小少年,353,30.953327011331442,38.85269121813031,2021
囧妈,152,170.31291,0.0,2020
囧探佳人,209,29.289282,8.0,2011
囧蛋奇兵,137,23.592916,6.0,2012
困兽,2177,40.267094,2.0,2023
困在心绪里的儿子,214,38.25945,1.0,2023
困在时间里的父亲,3163,39.8528,7.0,2021
国家大剧院舞台艺术“第二现场”—话剧《林则徐》直播,12,50.72666999999999,19.0,2025
国王的演讲,628,32.34246,9.0,2012
国礼,515,48.56258,41.0,2019
国酒,1021,42.56647,72.0,2016
国际空间站,32,40.0,64.0,2022
图兰朵：魔咒缘起,1890,37.111435,2.0,2021
圆梦巨人,14303,32.863834,11.0,2016
土豪520,3010,31.573626,8.0,2015
圣山村谜局,474,32.11377,3.0,2021
圣斗士星矢：圣域传说,3779,28.190598,9.0,2016
圣杯神器：骸骨之城,2967,30.582441,13.0,2014
圣诞大赢家,4692,33.50046963661552,96.76470588235294,2015
圣诞奇妙公司,487,29.07108,3.0,2017
圣诞玫瑰,2341,30.873974,9.0,2013
圣龙奇兵大冒险,566,27.869684,10.0,2013
在一起,83,31.925423,7.0,2013
在世界中心呼唤爱,1104,30.228113000000004,6.0,2016
在乎你,889,42.769352,2.0,2019
在他乡,6,39.429718,2.0,2025
地上的云朵,470,45.142662,1.0,2025
地下室惊魂,699,31.48146714592275,8.261802575107296,2012
地久天长,4523,36.824226,7.0,2019
地域无门,240,30.201292,4.0,2012
地心历险记,56,38.75930999999999,24.0,2012
地心历险记2：神秘岛,38645,42.033447,31.0,2012
地心引力,43549,41.292526,23.0,2013
地心营救,2342,29.404388,8.0,2016
地火,106,25.01395,9.0,2022
地狱男爵：血皇后崛起,8622,32.07443,3.0,2020
地球四季,497,31.584824,5.0,2016
地球最后的夜晚,28219,37.82856827385804,53.921683971792056,2018
地球脉动：极境生存,626,36.771821993610224,58.51277955271566,2024
地球：神奇的一天,4778,34.04962,18.0,2017
地瓜味的冰激凌,31,30.77959,1.0,2022
坂本龙一：杰作,495,44.14677,3.0,2024
坂本龙一：终曲,502,38.1418583247012,5.822709163346613,2019
坏姐姐之拆婚联盟,962,30.684834,5.0,2014
坏爸爸,2448,28.977138999999998,26.0,2018
坏蛋必须死,4696,29.556366,12.0,2015
坏蛋联盟,33525,33.781906,4.0,2022
坚不可摧,3624,36.959145,16.0,2015
坚如磐石,135165,42.90321,10.0,2023
坚守1200秒,67,35.04372,27.0,2020
坠落,2619,36.31216,2.0,2022
坠落的审判,2858,41.487736,4.0,2024
垫底联盟,430,40.038548,5.0,2017
垫底辣妹,3745,28.15791,10.0,2016
城市梦,242,47.6684,31.0,2020
城市游戏,315,29.641684,4.0,2014
城市猎人,241,31.049686,1.0,2020
城市的星空,256,71.98212,88.0,2020
堡垒,599,36.14878707512521,5.993322203672788,2024
堵车,88,30.416564999999995,4.0,2011
境·界,363,30.988747000000004,1.0,2019
墓穴迷城,249,33.438885,5.0,2015
士兵顺溜：兵王争锋,188,32.158703,2.0,2020
声之形,4454,29.140268,7.0,2017
复仇者联盟,56632,41.696907,33.0,2012
复仇者联盟2：奥创纪元,146118,40.000656,29.0,2015
复仇者联盟3：无限战争,239050,38.242947,19.0,2018
复仇者联盟4：终局之战,425013,48.960224542101066,23.00638098128763,2019
复合吧！前任,469,37.31231,1.0,2023
复合大作战,414,37.516293,24.0,2020
夏天19岁的肖像,937,28.556396,6.0,2017
夏日乐悠悠,432,31.740652,7.0,2011
夏日友晴天,8875,36.058746,4.0,2021
夏日心灵,9,49.526054,120.0,2025
夏日恋神马,131,28.044794,7.0,2011
夏日示爱,67,31.466491999999995,2.0,2013
夏有乔木 雅望天堂,15625,30.85896,15.0,2016
夏洛特烦恼,144474,32.16958993133712,33.88734305134488,2015
夏目友人帐,11526,30.32168,9.0,2019
外公芳龄38,6029,26.157633000000004,9.0,2016
外太空的莫扎特,22396,40.59678,6.0,2022
多力特的奇幻冒险,13602,32.301804,7.0,2020
多幸运遇见你,1931,37.980606,2.0,2025
多想和你再见一面,252,41.18599,1.0,2024
夜伴歌声,694,49.94461,5.0,2019
夜半凶宅,401,32.25595,1.0,2025
夜半梳头,1343,28.14279,8.0,2014
夜孔雀,3313,27.591810000000002,7.0,2016
夜守,276,30.410826,2.0,2021
夜幕惊魂,329,28.608673,5.0,2013
夜惊魂,836,29.784248000000005,13.0,2011
夜色撩人,377,31.036526,2.0,2017
夜莺,2155,31.829744,22.0,2014
大“反”派,5705,38.077545,3.0,2024
大上海,14951,33.71124546659087,24.090830044813057,2012
大世界,262,33.38937,3.0,2018
大事,1003,35.79908,68.0,2021
大人物,1620,30.44509011666667,10.29320987654321,2011
大侦探皮卡丘,64059,35.445614,10.0,2019
大侦探福尔摩斯,466,31.384706000000005,28.0,2012
大侦探福尔摩斯2：诡影游戏,18795,33.525307,37.0,2012
大侦探霍桑,800,29.697083,2.0,2019
大傩·董春女,68,38.15952,10.0,2020
大兵金宝历险记,52,30.536953,5.0,2012
大力神,2518,36.060783,7.0,2014
大劫难,1,18.0,20.0,2011
大卫贝肯之倒霉特工熊,12614,32.85086,10.0,2017
大叔，我爱你,465,30.284977,6.0,2013
大唐玄奘,3298,30.049432999999997,9.0,2016
大喜临门,775,31.942889999999995,8.0,2015
大国粮仓,115,29.641619,2.0,2022
大圣降妖,216,31.802066999999997,2.0,2024
大地颂歌,488,39.35494015983607,41.532786885245905,2021
大场面,1246,41.552628,2.0,2024
大坏狐狸的故事,1609,29.779376999999997,6.0,2018
大城大楼,2586,44.151688,32.0,2021
大头大头下雨不愁,26,29.558811,2.0,2022
大学,800,35.276863,7.0,2021
大宅男,102,30.923353,6.0,2014
大富之家,1,57.5,200.0,2011
大寒,670,42.676926,40.0,2018
大寒桃花开,90,28.649147,3.0,2014
大师兄,14630,32.85148,11.0,2018
大护法,8761,35.92481,10.0,2017
大旅行,83,29.727453,1.0,2023
大明劫,418,31.145758,6.0,2013
大明猩,11279,36.87592,19.0,2013
大梦难忘,1100,56.75499,20.0,2019
大武当之天地密码,3789,31.236824,16.0,2012
大武生,4148,32.613174,16.0,2011
大河向东流之沁源故事,235,31.164581,23.0,2020
大海啸之鲨口逃生,15701,38.12558,17.0,2012
大火种,1042,31.931984000000003,48.0,2016
大熊雨林,38,33.01329,58.0,2022
大片,344,28.380220000000005,5.0,2013
大白鲨之夺命鲨口,403,30.086542,2.0,2022
大突围,1302,39.50733991013825,5.359447004608295,2024
大笑江湖,57,31.293976,10.0,2011
大红包,23534,33.37697,6.0,2021
大红包2：龙凤呈祥,238,36.273354,1.0,2025
大约在冬季,22743,35.31604,7.0,2019
大耳朵图图之美食狂想曲,4300,30.183474,11.0,2017
大耳朵图图之霸王龙在行动,5405,34.25689,8.0,2021
大话天仙,2959,30.171097,12.0,2014
大话西游3,36539,32.570686,13.0,2016
大话西游之大圣娶亲,18682,26.922206695000536,14.845252114334654,2014
大话西游之月光宝盒,1577,23.8980276544071,15.142675967026,2014
大象林旺之一炮成名,346,27.749000000000002,7.0,2017
大路朝天,2563,38.960197,63.0,2019
大追捕,4820,31.288336,14.0,2012
大追求,499,40.0,157.0,2015
大野狼和小绵羊的爱情,76,26.51669,3.0,2013
大闹天宫,4097,35.06886656992922,24.956797656822065,2012
大闹天竺,75611,35.56586,31.0,2017
大闹西游,3786,33.441425,8.0,2018
大雨,1729,40.712242,2.0,2024
大震撼,7,24.938618,6.0,2011
大风杀,5621,35.32532,3.0,2025
大魔术师,17343,33.882114,33.0,2012
大鱼海棠,57364,33.09043918454083,24.729168119378006,2016
大黄蜂,114945,35.906555,11.0,2019
天·火,17010,37.41449763492064,11.386243386243386,2019
天上的菊美,1057,29.342024,69.0,2014
天下无拐,115,32.92741,1.0,2021
天下无敌,255,21.733772,20.0,2023
天下无毒,102,35.12826,21.0,2020
天之书,138,35.472355,1.0,2022
天书奇谭 纪念版,2772,36.743946,4.0,2021
天亮之前,3630,31.828854,8.0,2016
天作谜案,927,30.80366,3.0,2019
天使陷落,6693,32.5318398207082,6.887494397131332,2019
天台爱情,11984,32.243793,19.0,2013
天堂旅行团,6599,38.79418,2.0,2025
天堂玩家,117,45.36719,16.0,2021
天堂电影院,2000,37.862797,4.0,2021
天堂的音符,1918,37.87254,112.0,2017
天堂谷大冒险,370,30.835627,4.0,2023
天将雄师,74201,40.640205,38.0,2015
天慕,1033,32.559433,52.0,2018
天才捕手,1473,31.421875,4.0,2017
天才枪手,27134,30.293993,12.0,2017
天才眼镜狗,12148,34.66859,17.0,2014
天才计划,1155,32.796932,2.0,2022
天机·富春山居图,30030,38.373573,24.0,2013
天气之子,28870,30.951149,11.0,2019
天气预爆,12296,35.783558,8.0,2018
天池水怪,84,31.498503,13.0,2020
天河,3209,30.698994,97.0,2014
天渠,1872,38.20744777724359,54.6383547008547,2018
天牢地网,186,31.572657000000003,5.0,2021
天生不对,2431,31.110271,6.0,2017
天生爱情狂,1127,29.642220000000002,9.0,2012
天眼传奇,410,27.86899,10.0,2015
天空之城,13548,32.137398,5.0,2023
天空之眼,1733,32.40975,5.0,2017
天空的微笑,796,39.999397,143.0,2016
天赐,14,24.090183,7.0,2011
天边加油站,113,44.721455,21.0,2020
天道王,2524,30.943844000000002,21.0,2020
天际浩劫,5711,31.267880000000005,22.0,2011
天降大任,3195,42.565439999999995,4.0,2024
天马星空,4,38.184067,0.0,2025
天龙押运,45,37.958736,13.0,2025
太平轮·彼岸,5095,37.226746,12.0,2015
太平轮（上）,19507,38.783806,14.0,2014
太极1：从零开始,14724,40.422173,16.0,2012
太极2：英雄崛起,11840,40.571606,14.0,2012
太极侠,2747,34.946003,11.0,2013
太空一号,3465,30.513454,15.0,2012
太空救援,1686,32.25979,6.0,2018
太空旅客,31385,35.35064,12.0,2017
太空熊猫历险记,211,32.4414954028436,7.0,2013
太空熊猫总动员,344,27.60959,9.0,2014
太空熊猫英雄归来,2092,37.74053927724666,70.69216061185469,2016
太空熊猫英雄诞生,524,43.50747,65.0,2020
太空狗之月球大冒险,286,29.459343,4.0,2019
太阳升起的时刻,1238,37.456593,8.0,2019
失业生,610,28.838776,3.0,2017
失孤,21584,31.309689,17.0,2015
失恋33天,30232,31.98172,36.0,2011
失控,60,26.483997,6.0,2011
失控玩家,61258,38.86059999999999,7.0,2021
失而复得,464,37.414692,7.0,2023
头号玩家,139668,36.40283,18.0,2018
头脑特工队,9705,35.239628,15.0,2015
头脑特工队2,34444,40.961777,6.0,2024
夺冠,83650,38.815342,11.0,2020
夺命地铁,1998,30.72592,9.0,2014
夺命心跳,1606,32.43933,18.0,2011
夺命旅行,852,30.888777000000005,4.0,2015
夺命深渊,9763,41.174713,23.0,2011
夺命追踪,806,29.824074000000003,10.0,2013
夺命金,2617,31.898005,15.0,2012
夺命黄金,438,30.47728,27.0,2022
夺宝奇兵：命运转盘,2392,40.25573,7.0,2023
夺宝联盟,2219,30.586464,14.0,2013
夺樽,63,22.556742,11.0,2014
夺路而逃,250,28.386732,3.0,2016
夺金四贱客,354,29.360155000000002,4.0,2017
奇妙王国之魔法奇缘,933,44.224724,15.0,2020
奇妙萌可大电影,1119,36.27973893565684,3.995531724754245,2024
奇幻女侠,505,38.531307,132.0,2015
奇幻森林,97678,33.53053,24.0,2016
奇幻森林之兽语小子,27,28.997297,4.0,2022
奇异世界历险记,502,33.685627,3.0,2021
奇异博士,75015,34.88417,18.0,2016
奇情快车,1022,36.84348045792564,72.27005870841488,2021
奇葩朵朵,3021,31.974672,5.0,2018
奇袭60阵地,569,31.752761999999997,10.0,2011
奇迹·笨小孩,137934,46.258804,11.0,2022
奇迹少女,1608,30.715052,5.0,2023
奇迹男孩,19151,30.257133,13.0,2018
奇门遁甲,29906,33.7782,14.0,2017
奋斗,565,30.939978,11.0,2011
奋斗吧中华儿女,475,40.449757,3.0,2021
奎迪：英雄再起,1688,31.33862,4.0,2019
奔爱,4741,33.124767,21.0,2016
奔跑吧！兄弟,44273,36.16437843755788,27.319336841867504,2015
奥拉星：进击圣殿,846,33.151302,7.0,2015
奥本海默,45289,42.8921248105721,9.00499017421449,2023
奥林匹斯的陷落,3999,32.36064505551388,15.559389847461865,2013
女人世界,165,38.242664,1.0,2024
女人如花,152,30.78479,5.0,2012
女巫季节,3797,30.206049,19.0,2011
