Title,Box Office,Average Price,Average Attendance,year
万影影业2022金鸡香港影展,44,85.816055,78.0,2022
万有引力,435,30.029427,10.0,2011
万湖会议,105,37.90606,3.0,2023
万物生长,14809,33.73378,17.0,2015
万箭穿心,249,30.49706,6.0,2012
万里归途,159323,41.962303,8.0,2022
三个未婚妈妈,448,28.399492,5.0,2012
三个火枪手,3969,37.500412,13.0,2012
三人行,10028,29.428674999999995,13.0,2016
三傻大闹宝莱坞,1397,32.05600870651396,15.554044380816034,2011
三傻闹地球,488,30.757048,4.0,2019
三叉戟,2896,40.379093,1.0,2024
三只小猪2,2696,29.732215511869434,7.652818991097923,2017
三只小猪3正义大联萌,376,31.082929999999998,2.0,2021
三只小猪与神灯,2378,29.296951000000004,12.0,2015
三国之见龙卸甲,168,24.868147,198.0,2014
三块广告牌,6499,36.950542,19.0,2018
三城记,1217,33.23837,6.0,2015
三大队,70586,42.25925143838722,8.173547162326807,2023
三小强,204,28.880474,4.0,2014
三少爷的剑,10040,36.247845,11.0,2016
三岔口,53,63.432304,165.0,2013
三更车库,791,29.866308,6.0,2015
三月情流感,130,32.29097,3.0,2013
三湾改编,5427,31.388955153123266,49.711442786069654,2021
三生三世十里桃花,53501,35.14003,24.0,2017
三贵情史,485,41.01628,1.0,2023
上善若水,474,39.96603,133.0,2015
上学路上,18,17.841583,842.0,2011
上海堡垒,12383,37.316036,10.0,2019
上海王,1361,31.362219,6.0,2017
下一个台风,8,59.739235,1.0,2025
下一个奇迹,311,31.250315000000004,18.0,2012
下一任：前任,13950,36.18983169706093,13.52179211469534,2019
下一站再爱你,231,30.386864,10.0,2014
下一站：幸福,503,46.39046,64.0,2022
不一样的九零后,100,41.474308,62.0,2022
不二神探,28391,31.523682,25.0,2013
不再让你孤单,1994,31.743443,12.0,2011
不再说分手,1007,32.01415,9.0,2014
不可思异,11164,32.20144,12.0,2015
不孤岛,301,39.29289,13.0,2023
不完美逃脱,142,32.063198,7.0,2025
不怕贼惦记,385,28.22864,8.0,2011
不惧风暴,11024,31.795149,13.0,2014
不想和你有遗憾,1748,37.262726,2.0,2024
不成问题的问题,777,32.043705,6.0,2017
不明身份,755,30.418957000000002,11.0,2011
不曾消失的爱,177,40.818436,13.0,2023
不期而遇,710,30.439663,4.0,2017
不期而遇的夏天,453,36.1424,1.0,2021
不止不休,5647,42.030262,3.0,2023
不死鸟之恋,405,45.680313,3.0,2021
不爱不散,58,28.408148000000004,3.0,2014
不老奇事,3611,34.237503,4.0,2021
不肯去观音,172,29.726930000000003,9.0,2013
不能流泪的悲伤,5536,41.818996,5.0,2023
不能说的夏天,1658,30.459198,9.0,2014
不能错过的只有你,4590,36.78566,5.0,2023
不虚此行,2741,43.586624,2.0,2023
不要再见啊，鱼花塘,65,40.517918,4.0,2022
不要和他约会,2,70.60811,11.0,2011
不要忘记我爱你,5602,41.4543,8.0,2022
不要走散好不好,1625,37.209923,3.0,2023
不说话的爱,14406,41.20269,3.0,2025
不速之客,392,32.10671,4.0,2016
不速来客,6733,37.346455,5.0,2021
与你相遇的日子,1008,38.55,43.0,2024
与君相恋100次,1347,30.792603999999997,6.0,2017
与妻书,22,36.791008,5.0,2012
与时尚同居,560,30.054163,7.0,2011
丑娃娃,365,31.50426,3.0,2019
丑小鸭历险记,431,26.0718,5.0,2016
丑小鸭的天鹅湖,351,34.871887,21.0,2021
世界上最爱我的人,764,36.1261,2.0,2022
世间有她,5621,40.953323,3.0,2022
丛林之王,1859,34.808872,9.0,2014
丛林启示录,366,40.19633,7.0,2023
丛林大冒险,112,31.177975,3.0,2023
丛林奇航,4489,37.919193,4.0,2021
丛林有情狼,1503,36.520107,13.0,2011
东北往事之破马张飞,10584,30.659609000000003,19.0,2017
东北虎,1692,34.822025,2.0,2022
东四十条,54,40.243523,0.0,2025
东成西就2011,7491,31.243221,22.0,2011
东方中国梦,44,25.717321000000002,53.0,2013
东方快车谋杀案,23015,31.327053,12.0,2017
两只小猪之勇闯神秘岛,300,31.069333999999998,8.0,2018
两只老虎,22446,34.27319507774214,8.005791677804508,2019
个十百千万,204,34.12334,2.0,2022
中国乒乓之绝地反击,10094,43.72774,5.0,2023
中国医生,132883,36.34327684572143,10.996086783109954,2021
中国合伙人,54050,32.17490646695652,26.949213691026827,2013
中国合伙人2,2052,38.76130233333333,13.75,2018
中国好声音之为你转身,291,32.12962441924399,5.835051546391752,2013
中国推销员,1015,30.921986,4.0,2017
中国机长,291301,37.478529985369086,26.156817175361567,2019
中国蓝盔,1791,29.543663,4.0,2018
临时乘客,222,32.660169819819814,10.45945945945946,2022
临时劫案,23742,38.204693,4.0,2024
临时同居,10091,31.151479999999996,14.0,2014
临时演员,1294,30.284924000000004,6.0,2017
临终囧事,776,28.736073999999995,5.0,2013
丹顶鹤,105,156.32985999999997,3.0,2022
为了明天升起的太阳,49,33.284927,19.0,2022
为了这片土地,392,30.169376,120.0,2015
为你写诗,1278,32.426224,3.0,2018
为你而来,47,27.604967,4.0,2012
