id,title,year,rating_count,rating_score,tp_drama,tp_comedy,tp_action,tp_romance,polarity_mean,polarity_std,comment_count,positive_ratio,negative_ratio,box_off,avg_price,avg_attend
2,让子弹飞,2011,142504.0,9.9,1,1,1,0,0.0141912331765885,0.4877042040499801,2019,0.4526993561168895,0.5473006438831105,16294,45.51810999999999,23.0
3,扬名立万,2021,43930.0,9.6,1,1,0,0,0.2255996569005664,0.586908204882587,1996,0.6082164328657315,0.3917835671342685,92669,38.03331727967282,6.99216566489333
4,新神榜：杨戬,2022,19026.0,8.4,0,0,1,0,0.0058261412853759,0.6991164984102501,1996,0.4919839679358717,0.5080160320641283,55553,42.119164,5.0
6,交换人生,2023,3055.0,8.0,0,1,0,0,-0.3630166990257603,0.5925785470535565,1747,0.2341156267887807,0.7658843732112193,39347,49.58561,13.0
7,温暖的抱抱,2020,11511.0,8.0,0,1,0,0,0.2236468387193294,0.6519805487071538,1996,0.6337675350701403,0.3662324649298597,86417,37.13132747693162,17.79222838098985
8,哪吒之魔童闹海,2025,4670.0,9.8,1,1,0,0,0.2328555893721161,0.6063197331578413,1998,0.6141141141141141,0.3858858858858859,1543143,47.646744,24.0
9,坚如磐石,2023,1633.0,7.4,1,0,1,0,-0.2343845667502777,0.6458602444254554,1121,0.2979482604817127,0.7020517395182873,135165,42.90321,10.0
12,罗小黑战记,2019,86340.0,9.6,0,0,1,0,0.1989733441457808,0.5751228598492034,1998,0.5940940940940941,0.4059059059059059,31501,33.325783,8.0
13,四海,2022,,,0,1,1,1,-0.2586289882988394,0.6135351694988075,1996,0.2835671342685371,0.7164328657314629,54279,53.10474,17.0
14,夺冠,2020,16224.0,9.1,1,0,0,0,0.2289064490684066,0.5773466628636261,1999,0.64032016008004,0.35967983991996,83650,38.815342,11.0
15,新神榜：哪吒重生,2021,28744.0,8.9,0,0,1,0,0.1668739570385555,0.6978448338409343,2017,0.5875061973227566,0.4124938026772434,45636,43.811897,14.0
17,喜羊羊与灰太狼之筐出未来,2022,42741.0,9.8,0,1,0,0,0.2488991860286318,0.5574128737050223,1998,0.6471471471471472,0.3528528528528528,16051,42.906994,10.0
20,万万没想到,2015,4756.0,8.2,0,1,0,0,0.1194090664481574,0.6348960901334637,1375,0.5570909090909091,0.4429090909090909,32097,28.692493,24.0
21,飞驰人生,2019,13064.0,9.4,0,1,0,0,0.1146591287817119,0.6091866513820557,1998,0.5575575575575575,0.4424424424424424,172824,41.70515976318104,25.059019580613803
22,全职高手之巅峰荣耀,2019,16484.0,6.5,1,0,1,0,-0.0753648009152144,0.6971425856282908,2016,0.4246031746031746,0.5753968253968254,8562,35.35017,9.0
